city	state_id	lat	lng
Huntington_Beach	CA	33.696	-118.0018
Clarksville	TN	36.5692	-87.3413
Santa_Barbara	CA	34.4285	-119.7202
Glendale	CA	34.1819	-118.2468
Sunrise_Manor	NV	36.1783	-115.0487
Grand_Prairie	TX	32.6871	-97.0208
Overland_Park	KS	38.887	-94.687
Hagerstown	MD	39.6401	-77.7217
Nampa	ID	43.5844	-116.5638
Gastonia	NC	35.2494	-81.1854
Frisco	TX	33.156	-96.8216
Cedar_Rapids	IA	41.9662	-91.6783
Hemet	CA	33.7341	-116.9969
Paradise	NV	36.0872	-115.1355
Sioux_Falls	SD	43.5396	-96.7311
Vancouver	WA	45.6366	-122.5967
Peoria	AZ	33.7843	-112.2989
Waco	TX	31.5599	-97.1882
Lorain	OH	41.4409	-82.184
Erie	PA	42.1167	-80.0733
Newport_News	VA	37.1051	-76.5185
Aurora	IL	41.7638	-88.2902
Fort_Lauderdale	FL	26.1412	-80.1464
Vallejo	CA	38.1125	-122.2342
Murfreesboro	TN	35.849	-86.4121
Spring_Hill	FL	28.4798	-82.53
Tempe	AZ	33.3881	-111.9319
High_Point	NC	35.991	-79.9937
Medford	OR	42.3372	-122.854
Danbury	CT	41.4015	-73.4709
Elk_Grove	CA	38.4161	-121.3842
Ontario	CA	34.0393	-117.6064
Frederick	MD	39.4337	-77.4141
Vero_Beach_South	FL	27.6132	-80.4163
Ocala	FL	29.178	-82.1511
Oceanside	CA	33.2247	-117.3083
Rancho_Cucamonga	CA	34.1247	-117.5667
Garden_Grove	CA	33.7787	-117.9601
Cary	NC	35.7819	-78.8195
Pembroke_Pines	FL	26.0128	-80.3382
Bayam¨®n	PR	18.3794	-66.1635
Palmdale	CA	34.5944	-118.1057
Manchester	NH	42.9848	-71.4447
Lafayette	IN	40.3991	-86.8593
Santa_Cruz	CA	36.9789	-122.0346
Marysville	WA	48.0809	-122.1561
Muskegon	MI	43.2281	-86.2562
Springfield	IL	39.7709	-89.654
Hayward	CA	37.6328	-122.0766
New_Bedford	MA	41.6697	-70.9428
Alexandria	VA	38.8185	-77.0861
Paterson	NJ	40.9147	-74.1624
Corona	CA	33.8616	-117.5649
Merced	CA	37.3057	-120.4779
Warner_Robins	GA	32.5961	-83.6527
Port_Arthur	TX	29.8554	-93.9264
Macon	GA	32.8065	-83.6974
Kansas_City	KS	39.1235	-94.7443
Lakewood	CO	39.6977	-105.1172
Sunnyvale	CA	37.3836	-122.0255
Fredericksburg	VA	38.2992	-77.4872
Leesburg	FL	28.7672	-81.8962
Champaign	IL	40.1142	-88.2737
Hollywood	FL	26.0293	-80.1679
Pasadena	TX	29.6575	-95.1498
Pomona	CA	34.0585	-117.7626
Escondido	CA	33.1348	-117.0723
Joliet	IL	41.5188	-88.1499
Lake_Charles	LA	30.201	-93.2111
Mesquite	TX	32.7602	-96.5865
Mauldin	SC	34.7821	-82.3032
Panama_City	FL	30.1995	-85.6003
Bellevue	WA	47.5951	-122.1535
